id,name,total_calories,protein_g,carbohydrate_g,fat_g,saturated_fat_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,servings,meal_type,ingredients_json,nutrition_tags_json
371241,卡津小牛胫骨,927.8,132.8,17.9,32.6,12.8,1.6,2.3,788.8,533.2,4,breakfast,"[{""amount"":0.5,""name"":""黑胡椒"",""unit"":""""},{""amount"":0.5,""name"":""辣椒粉"",""unit"":""""},{""amount"":0.5,""name"":""辣椒粉"",""unit"":""""},{""amount"":1,""name"":""罗勒"",""unit"":""""},{""amount"":0.5,""name"":""百里香"",""unit"":""""},{""amount"":0.5,""name"":""面粉"",""unit"":""""},{""amount"":6,""name"":""黄油"",""unit"":""""},{""amount"":3,""name"":""洋葱"",""unit"":""""},{""amount"":1,""name"":""青椒"",""unit"":""""},{""amount"":0.5,""name"":""芹菜"",""unit"":""""},{""amount"":1,""name"":""蒜瓣"",""unit"":""""},{""amount"":3,""name"":""盐"",""unit"":""""},{""amount"":0.25,""name"":""黑胡椒"",""unit"":""""}]","[""蔬菜"",""肉"",""卡真"",""克里奥尔语"",""极低碳水化合物"",""高蛋白"",""高含量..."",""早午餐"",""少于4小时"",""小牛肉""]"
235997,龙蒿龙虾沙拉,703.1,128.9,11.2,12.8,2.2,0.3,1.5,2447.8,652,1,breakfast,"[{""amount"":4,""name"":""活龙虾"",""unit"":""""},{""amount"":1,""name"":""青葱"",""unit"":""""},{""amount"":3,""name"":""柠檬汁"",""unit"":""""},{""amount"":0.3333333333333333,""name"":""蛋黄酱"",""unit"":""""},{""amount"":0.5,""name"":""盐"",""unit"":""""},{""amount"":2,""name"":""新鲜龙蒿"",""unit"":""""},{""amount"":0.25,""name"":""黑胡椒"",""unit"":""""}]","[""龙虾"",""极低碳水化合物"",""高蛋白"",""健康"",""高含量..."",""夏季"",""早午餐"",""炉灶顶"",""少于4小时"",""简单"",""午餐/零食""]"
15329,乡村香肠,964.4,132.8,0.7,43.9,15.5,0.3,0.2,2202.7,389.9,1,breakfast,"[{""amount"":15,""name"":""猪肉"",""unit"":""""},{""amount"":4,""name"":""盐"",""unit"":""""},{""amount"":3,""name"":""鼠尾草"",""unit"":""""},{""amount"":4,""name"":""黑胡椒"",""unit"":""""}]","[""猪肉"",""禽肉"",""肉"",""极低碳水化合物"",""高蛋白"",""高含量..."",""辣味"",""少于60分钟"",""简单"",""早餐""]"
114240,热带火鸡里脊,984.5,119.2,34.2,41.5,7.1,6.5,20.1,573.2,281.5,1,breakfast,"[{""amount"":2,""name"":""火鸡里脊"",""unit"":""""},{""amount"":0.25,""name"":""芒果"",""unit"":""""},{""amount"":0.25,""name"":""红洋葱"",""unit"":""""},{""amount"":0.25,""name"":""菠萝"",""unit"":""""},{""amount"":0.25,""name"":""香蕉"",""unit"":""""},{""amount"":0.25,""name"":""青柠汁"",""unit"":""""},{""amount"":0.5,""name"":""大蒜"",""unit"":""""},{""amount"":1,""name"":""新鲜香菜"",""unit"":""""},{""amount"":1,""name"":""红糖"",""unit"":""""},{""amount"":1,""name"":""盐"",""unit"":""""},{""amount"":0.125,""name"":""胡椒"",""unit"":""""},{""amount"":0.125,""name"":""盐"",""unit"":""""},{""amount"":0.125,""name"":""辣椒粉"",""unit"":""""}]","[""肉"",""早午餐"",""少于60分钟"",""禽肉""]"
58466,西南橙香辣椒鸡配黑豆,817.2,115,35.6,20.3,4.6,8.1,11.5,600.7,290.8,1,breakfast,"[{""amount"":2,""name"":""去皮鸡肉"",""unit"":""""},{""amount"":3,""name"":""紫洋葱"",""unit"":""-4""},{""amount"":1,""name"":""蒜瓣"",""unit"":""""},{""amount"":4,""name"":""辣椒酱"",""unit"":""""},{""amount"":1.5,""name"":""黑豆"",""unit"":""""},{""amount"":0.75,""name"":""红甜椒"",""unit"":""""},{""amount"":3,""name"":""黑朗姆酒"",""unit"":""""},{""amount"":1.75,""name"":""新鲜香菜"",""unit"":""""}]","[""橙子"",""禽肉"",""黑豆"",""柑橘"",""洋葱"",""辣椒"",""豆类"",""水果"",""蔬菜"",""肉"",""高蛋白"",""健康"",""高含量..."",""工作日夜晚"",""早午餐"",""炉灶顶"",""鸡肉""]"
99424,我最爱的烤猪肉,938.9,113.8,19.4,37.7,13.6,3.1,13.4,228.1,341.1,1,breakfast,"[{""amount"":0.5,""name"":""白胡椒"",""unit"":""""},{""amount"":1,""name"":""迷迭香"",""unit"":""""},{""amount"":3.5,""name"":""去骨猪肩肉"",""unit"":""""},{""amount"":1,""name"":""苹果"",""unit"":""""},{""amount"":1,""name"":""梨"",""unit"":""""},{""amount"":1,""name"":""橘子"",""unit"":""""},{""amount"":1,""name"":""干白葡萄酒"",""unit"":""""},{""amount"":1,""name"":""水"",""unit"":""""}]","[""肉"",""高蛋白"",""高含量..."",""咸味"",""早午餐"",""烤"",""烤箱"",""新手厨师"",""少于4小时"",""简单"",""猪肉""]"
503084,B萨拉汤（摩洛哥汤）,888,61.4,143.6,11.1,1.6,59,15.7,1219.5,0,1,breakfast,"[{""amount"":1,""name"":""干蚕豆"",""unit"":""""},{""amount"":5,""name"":""水"",""unit"":""""},{""amount"":8,""name"":""蒜瓣"",""unit"":""""},{""amount"":1,""name"":""洋葱"",""unit"":""""},{""amount"":1,""name"":""橄榄油"",""unit"":""""},{""amount"":1,""name"":""盐"",""unit"":""""},{""amount"":2,""name"":""孜然"",""unit"":""""},{""amount"":2,""name"":""甜红椒粉"",""unit"":""""},{""amount"":2,""name"":""阿甘油"",""unit"":""-3""},{""amount"":0,""name"":""哈里萨辣酱"",""unit"":""""},{""amount"":0,""name"":""柠檬角"",""unit"":""""}]","[""早餐"",""豆类"",""摩洛哥"",""非洲"",""纯素"",""工作日夜晚"",""新手厨师"",""少于4小时"",""简单"",""便宜"",""自制"",""炖""]"
135495,杰基尔岛虾,959.5,101.7,41.2,30.4,16.4,4.6,3.9,1579.3,945.1,1,breakfast,"[{""amount"":2,""name"":""黄油"",""unit"":""""},{""amount"":4,""name"":""蒜瓣"",""unit"":""""},{""amount"":1,""name"":""欧芹"",""unit"":""""},{""amount"":6,""name"":""雪利酒"",""unit"":""""},{""amount"":2,""name"":""盐"",""unit"":""""},{""amount"":4,""name"":""白胡椒"",""unit"":""""},{""amount"":1,""name"":""辣椒粉"",""unit"":""""},{""amount"":1,""name"":""柠檬"",""unit"":""""}]","[""早午餐"",""少于60分钟"",""简单"",""健康""]"
392309,玛米版佛罗伦萨比目鱼,987.3,105.4,21.9,52.1,28,2.3,1.4,1901.3,247,2,breakfast,"[{""amount"":2,""name"":""大比目鱼片"",""unit"":""""},{""amount"":2,""name"":""黄油"",""unit"":""""},{""amount"":2,""name"":""面粉"",""unit"":""""},{""amount"":0.75,""name"":""牛奶"",""unit"":""""},{""amount"":1,""name"":""胡椒"",""unit"":""""},{""amount"":0.5,""name"":""盐"",""unit"":""""},{""amount"":3,""name"":""帕玛森奶酪"",""unit"":""""},{""amount"":6,""name"":""瑞士甜菜"",""unit"":""""},{""amount"":4,""name"":""蒜瓣"",""unit"":""""},{""amount"":2,""name"":""黄油"",""unit"":""""},{""amount"":1,""name"":""奶酪"",""unit"":""""}]","[""早午餐"",""少于60分钟"",""工作日夜晚""]"
337969,散装鹿肉香肠,902.9,103.5,7.9,48,20.3,0.6,6.8,341.6,379.1,1,breakfast,"[{""amount"":6,""name"":""猪肉末"",""unit"":""""},{""amount"":2,""name"":""现磨黑胡椒"",""unit"":""""},{""amount"":0.25,""name"":""碎红辣椒片"",""unit"":""""},{""amount"":1,""name"":""红糖"",""unit"":""""},{""amount"":1,""name"":""干鼠尾草"",""unit"":""""}]","[""鹿肉"",""野味"",""肉"",""少于60分钟"",""简单"",""早餐""]"
