id,name,met_value,category,description
CPA_02116,臂式测功计，手摇车，15W,2,aerobic,体能训练——手臂测功计，手摇车，15瓦
CPA_01010,骑行，<10英里/小时，休闲，通勤或娱乐（泰勒代码115）,4,aerobic,骑行——骑行，时速低于10英里，休闲、通勤或娱乐（泰勒代码115）
CPA_03005,非裔古巴萨尔萨舞（古巴恰恰恰、曼波、非裔伦巴、反拍松步、奥里沙/圣徒动作）,6,aerobic,舞蹈——非洲-古巴萨尔萨（古巴恰恰恰、曼波、非洲伦巴、反拍子颂步、奥里沙/圣徒动作）
CPA_19011,冰钓,2,aerobic,冬季活动——冰钓
CPA_01264,自行车，仅离心，200瓦,4,aerobic,骑行——骑行，仅离心阶段，200瓦
CPA_18416,水中骑行，50瓦，60-70转/分,6,aerobic,水上活动——水中骑行，50瓦，60-70转/分钟
CPA_18142,小帆船航行,2,aerobic,水上活动——帆船，小帆船
CPA_01214,固定自行车，50瓦，轻度用力,4,aerobic,骑行——固定自行车，50瓦，轻度用力
CPA_03042,休闲交谊舞（华尔兹、狐步舞、恰恰舞、摇摆舞）,6,aerobic,舞蹈——交谊舞，休闲娱乐（华尔兹、狐步舞、恰恰、摇摆舞）
CPA_19202,雪地摩托，乘客，轻型,2,aerobic,冬季活动——雪地摩托，乘客，轻度
CPA_18020,露营皮划艇（泰勒代码270）,4,aerobic,水上活动——露营旅行中的独木舟（泰勒代码270）
CPA_15050,篮球，非比赛，一般（泰勒代码480）,6,aerobic,运动——篮球，非比赛，一般性（泰勒代码480）
CPA_15406,骑马（模拟器）,2.1,aerobic,运动——骑马，模拟器
CPA_17016,携带5至14磅（2.3至6.4公斤）负重（如手提箱、箱子、杂货），平地，中等速度,4,aerobic,步行——携带5至14磅（2.3至6.4公斤）负重（如手提箱、箱子、杂货），平地，中等速度
CPA_01220,固定式自行车，90-100瓦，中等到高强度,6,aerobic,骑行——固定式自行车，90-100瓦，中等到高强度
CPA_17340,跑步机步行，速度低于1.0英里/小时，坡度0%,2.1,aerobic,步行——跑步机步行，速度低于1.0英里/小时，坡度0%
CPA_15140,教练、足球、英式足球、篮球、棒球、游泳等。,4,aerobic,运动——教练、足球、英式足球、篮球、棒球、游泳等。
CPA_17027,搬运负荷，16至24磅负荷，上楼,6,aerobic,步行——负重，负重16至24磅，上楼梯
CPA_01262,自行车，仅离心运动，100至149瓦,2.3,aerobic,自行车运动——仅离心阶段，100至149瓦
CPA_15170,冰壶,4,aerobic,运动 — 冰壶
CPA_15138,竞技啦啦操，体操动作，竞技性,6,aerobic,运动——啦啦操、体操动作、竞技类
CPA_17021,携带约10磅儿童，慢走,2.3,aerobic,步行——携带约10磅（4.5公斤）儿童，慢速行走
CPA_01088,电动自行车（电力辅助）高电子助力,4,aerobic,骑行——电动自行车（电力辅助），高电子助力模式
CPA_02032,循环训练，自重训练,6,aerobic,体能训练——循环训练，自重训练
CPA_18352,漂流，河上漂浮，一般,2.3,aerobic,水上活动——漂流，在河上漂浮，一般
CPA_15232,触身式橄榄球，旗式橄榄球，轻度用力,4,aerobic,运动——足球，触式，旗式，轻度用力
CPA_15190,直线竞速赛，推车或驾驶汽车,6,aerobic,运动——直线竞速，推车或驾驶汽车
CPA_17343,跑步机步行，1.0英里/小时，0%坡度,2.3,aerobic,步行——跑步机步行，1.0英里/小时，0%坡度
CPA_15310,花式沙包,4,aerobic,运动 — 花式沙包
